timestamp,sensor,value
2015-11-20T00:00:02+00:00,16,46.907
2015-11-20T00:00:02+00:00,17,3.4
2015-11-20T00:00:02+00:00,18,828.2
2015-11-20T00:00:02+00:00,19,855.7
2015-11-20T00:00:02+00:00,22,25.405
2015-11-20T00:00:02+00:00,23,25.5
2015-11-20T00:00:02+00:00,24,25.6
2015-11-20T00:00:02+00:00,25,30.342
2015-11-20T00:00:02+00:00,20,707.7
2015-11-20T00:00:02+00:00,21,11.3
2015-11-20T00:00:02+00:00,22,25.401
2015-11-20T00:00:02+00:00,23,25.496
2015-11-20T00:00:02+00:00,24,25.6
2015-11-20T00:00:02+00:00,25,30.34
2015-11-20T00:00:02+00:00,1,8.3
2015-11-20T00:00:02+00:00,2,11.3
2015-11-20T00:00:02+00:00,3,9525.0
2015-11-20T00:00:02+00:00,4,707.7
2015-11-20T00:00:02+00:00,5,690.5
2015-11-20T00:00:02+00:00,6,683.5
2015-11-20T00:00:02+00:00,7,719.7
2015-11-20T00:00:02+00:00,8,690.0
2015-11-20T00:00:02+00:00,9,662.0
2015-11-20T00:00:02+00:00,10,826.4
2015-11-20T00:00:02+00:00,11,832.6
2015-11-20T00:00:02+00:00,12,795.0
2015-11-20T00:00:02+00:00,13,817.4
2015-11-20T00:00:02+00:00,14,923.0
2015-11-20T00:00:02+00:00,15,912.3
2015-11-20T00:00:02+00:00,16,47.517
2015-11-20T00:00:02+00:00,17,3.4
2015-11-20T00:00:02+00:00,18,828.1
2015-11-20T00:00:02+00:00,19,855.1
2015-11-20T00:00:02+00:00,22,25.405
2015-11-20T00:00:02+00:00,23,25.5
2015-11-20T00:00:02+00:00,24,25.6
2015-11-20T00:00:02+00:00,25,30.34
2015-11-20T00:00:02+00:00,20,707.0
2015-11-20T00:00:02+00:00,21,11.3
2015-11-20T00:00:02+00:00,22,25.4
2015-11-20T00:00:02+00:00,23,25.495
2015-11-20T00:00:02+00:00,24,25.6
2015-11-20T00:00:02+00:00,25,30.34
2015-11-20T00:00:02+00:00,1,8.3
2015-11-20T00:00:02+00:00,2,11.3
2015-11-20T00:00:02+00:00,3,9523.0
2015-11-20T00:00:02+00:00,4,707.4
2015-11-20T00:00:02+00:00,5,690.9
2015-11-20T00:00:02+00:00,6,682.9
2015-11-20T00:00:02+00:00,7,719.7
2015-11-20T00:00:02+00:00,8,690.2
2015-11-20T00:00:02+00:00,9,661.3
2015-11-20T00:00:02+00:00,10,827.0
2015-11-20T00:00:02+00:00,11,831.6
2015-11-20T00:00:02+00:00,12,793.5
2015-11-20T00:00:02+00:00,13,817.3
2015-11-20T00:00:02+00:00,14,924.0
2015-11-20T00:00:02+00:00,15,911.8
2015-11-20T00:00:02+00:00,16,50.264
2015-11-20T00:00:03+00:00,17,3.4
2015-11-20T00:00:03+00:00,18,827.9
2015-11-20T00:00:03+00:00,19,854.8
2015-11-20T00:00:03+00:00,22,25.405
2015-11-20T00:00:03+00:00,23,25.5
2015-11-20T00:00:03+00:00,24,25.6
2015-11-20T00:00:03+00:00,25,30.34
2015-11-20T00:00:03+00:00,20,706.6
2015-11-20T00:00:03+00:00,21,11.3
2015-11-20T00:00:03+00:00,22,25.398
2015-11-20T00:00:03+00:00,23,25.493
2015-11-20T00:00:03+00:00,24,25.6
2015-11-20T00:00:03+00:00,25,30.339
2015-11-20T00:00:03+00:00,1,8.3
2015-11-20T00:00:03+00:00,2,11.3
2015-11-20T00:00:03+00:00,3,9525.0
2015-11-20T00:00:03+00:00,4,708.8
2015-11-20T00:00:03+00:00,5,690.0
2015-11-20T00:00:03+00:00,6,683.8
2015-11-20T00:00:03+00:00,7,719.3
2015-11-20T00:00:03+00:00,8,690.2
2015-11-20T00:00:03+00:00,9,661.4
2015-11-20T00:00:03+00:00,10,827.9
2015-11-20T00:00:03+00:00,11,832.8
2015-11-20T00:00:03+00:00,12,794.0
2015-11-20T00:00:03+00:00,13,817.0
2015-11-20T00:00:03+00:00,14,924.1
2015-11-20T00:00:03+00:00,15,911.6
2015-11-20T00:00:03+00:00,16,51.79
2015-11-20T00:00:03+00:00,17,3.4
2015-11-20T00:00:03+00:00,18,828.5
2015-11-20T00:00:03+00:00,19,855.7
2015-11-20T00:00:03+00:00,22,25.405
2015-11-20T00:00:03+00:00,23,25.5
2015-11-20T00:00:03+00:00,24,25.6
2015-11-20T00:00:03+00:00,25,30.339
2015-11-20T00:00:03+00:00,20,707.4
2015-11-20T00:00:03+00:00,21,11.3
2015-11-20T00:00:03+00:00,22,25.396
2015-11-20T00:00:03+00:00,23,25.491
2015-11-20T00:00:03+00:00,24,25.6
2015-11-20T00:00:03+00:00,25,30.338
2015-11-20T00:00:03+00:00,1,8.3
2015-11-20T00:00:03+00:00,2,11.3
2015-11-20T00:00:03+00:00,3,9526.0
2015-11-20T00:00:03+00:00,4,708.2
2015-11-20T00:00:03+00:00,5,690.2
2015-11-20T00:00:03+00:00,6,683.9
2015-11-20T00:00:03+00:00,7,719.3
2015-11-20T00:00:03+00:00,8,689.7
2015-11-20T00:00:03+00:00,9,661.0
2015-11-20T00:00:03+00:00,10,827.8
2015-11-20T00:00:03+00:00,11,832.0
2015-11-20T00:00:03+00:00,12,795.2
2015-11-20T00:00:03+00:00,13,817.4
2015-11-20T00:00:03+00:00,14,924.7
2015-11-20T00:00:03+00:00,15,912.5
2015-11-20T00:00:03+00:00,16,52.828
2015-11-20T00:00:03+00:00,17,3.4
2015-11-20T00:00:03+00:00,18,828.7
2015-11-20T00:00:04+00:00,19,855.4
2015-11-20T00:00:04+00:00,22,25.405
2015-11-20T00:00:04+00:00,23,25.5
2015-11-20T00:00:04+00:00,24,25.6
2015-11-20T00:00:04+00:00,25,30.338
2015-11-20T00:00:04+00:00,20,706.4
2015-11-20T00:00:04+00:00,21,11.3
2015-11-20T00:00:04+00:00,22,25.394
2015-11-20T00:00:04+00:00,23,25.49
2015-11-20T00:00:04+00:00,24,25.6
2015-11-20T00:00:04+00:00,25,30.338
2015-11-20T00:00:04+00:00,1,8.3
2015-11-20T00:00:04+00:00,2,11.3
2015-11-20T00:00:04+00:00,3,9528.0
2015-11-20T00:00:04+00:00,4,708.7
2015-11-20T00:00:04+00:00,5,690.3
2015-11-20T00:00:04+00:00,6,683.5
2015-11-20T00:00:04+00:00,7,719.4
2015-11-20T00:00:04+00:00,8,689.6
2015-11-20T00:00:04+00:00,9,661.4
2015-11-20T00:00:04+00:00,10,827.5
2015-11-20T00:00:04+00:00,11,831.9
2015-11-20T00:00:04+00:00,12,795.0
2015-11-20T00:00:04+00:00,13,817.4
2015-11-20T00:00:04+00:00,14,923.6
2015-11-20T00:00:04+00:00,15,911.8
2015-11-20T00:00:04+00:00,16,53.926
2015-11-20T00:00:04+00:00,17,3.5
2015-11-20T00:00:04+00:00,18,827.5
2015-11-20T00:00:04+00:00,19,855.6
2015-11-20T00:00:04+00:00,22,25.405
2015-11-20T00:00:04+00:00,23,25.5
2015-11-20T00:00:04+00:00,24,25.6
2015-11-20T00:00:04+00:00,25,30.338
2015-11-20T00:00:04+00:00,20,702.7
2015-11-20T00:00:04+00:00,21,11.3
2015-11-20T00:00:04+00:00,22,25.393
2015-11-20T00:00:04+00:00,23,25.488
2015-11-20T00:00:04+00:00,24,25.6
2015-11-20T00:00:04+00:00,25,30.337
2015-11-20T00:00:04+00:00,1,8.3
2015-11-20T00:00:04+00:00,2,11.3
2015-11-20T00:00:04+00:00,3,9530.0
2015-11-20T00:00:04+00:00,4,707.9
2015-11-20T00:00:04+00:00,5,690.8
2015-11-20T00:00:04+00:00,6,683.8
2015-11-20T00:00:04+00:00,7,719.7
2015-11-20T00:00:04+00:00,8,690.0
2015-11-20T00:00:04+00:00,9,661.1
2015-11-20T00:00:04+00:00,10,827.2
2015-11-20T00:00:04+00:00,11,832.3
2015-11-20T00:00:04+00:00,12,796.5
2015-11-20T00:00:04+00:00,13,817.2
2015-11-20T00:00:04+00:00,14,923.3
2015-11-20T00:00:04+00:00,15,912.4
2015-11-20T00:00:04+00:00,16,55.208
2015-11-20T00:00:04+00:00,17,3.4
2015-11-20T00:00:04+00:00,18,828.5
2015-11-20T00:00:04+00:00,19,855.3
2015-11-20T00:00:04+00:00,22,25.405
2015-11-20T00:00:05+00:00,23,25.5
2015-11-20T00:00:05+00:00,24,25.6
2015-11-20T00:00:05+00:00,25,30.337
2015-11-20T00:00:05+00:00,20,705.0
2015-11-20T00:00:05+00:00,21,11.3
2015-11-20T00:00:05+00:00,22,25.391
2015-11-20T00:00:05+00:00,23,25.486
2015-11-20T00:00:05+00:00,24,25.6
2015-11-20T00:00:05+00:00,25,30.336
2015-11-20T00:00:05+00:00,1,8.3
2015-11-20T00:00:05+00:00,2,11.3
2015-11-20T00:00:05+00:00,3,9527.0
2015-11-20T00:00:05+00:00,4,708.5
2015-11-20T00:00:05+00:00,5,689.7
2015-11-20T00:00:05+00:00,6,683.3
2015-11-20T00:00:05+00:00,7,719.7
2015-11-20T00:00:05+00:00,8,690.0
2015-11-20T00:00:05+00:00,9,661.1
2015-11-20T00:00:05+00:00,10,827.0
2015-11-20T00:00:05+00:00,11,831.8
2015-11-20T00:00:05+00:00,12,794.8
2015-11-20T00:00:05+00:00,13,817.2
2015-11-20T00:00:05+00:00,14,923.4
2015-11-20T00:00:05+00:00,15,912.8
2015-11-20T00:00:05+00:00,16,56.734
2015-11-20T00:00:05+00:00,17,3.4
2015-11-20T00:00:05+00:00,18,828.0
2015-11-20T00:00:05+00:00,19,855.5
2015-11-20T00:00:05+00:00,22,25.405
2015-11-20T00:00:05+00:00,23,25.5
2015-11-20T00:00:05+00:00,24,25.6
2015-11-20T00:00:05+00:00,25,30.336
2015-11-20T00:00:05+00:00,20,709.2
2015-11-20T00:00:05+00:00,21,11.3
2015-11-20T00:00:05+00:00,22,25.389
2015-11-20T00:00:05+00:00,23,25.485
2015-11-20T00:00:05+00:00,24,25.6
2015-11-20T00:00:05+00:00,25,30.336
2015-11-20T00:00:05+00:00,1,8.3
2015-11-20T00:00:05+00:00,2,11.3
2015-11-20T00:00:05+00:00,3,9531.0
2015-11-20T00:00:05+00:00,4,707.9
2015-11-20T00:00:05+00:00,5,690.3
2015-11-20T00:00:05+00:00,6,682.9
2015-11-20T00:00:05+00:00,7,720.4
2015-11-20T00:00:05+00:00,8,690.8
2015-11-20T00:00:05+00:00,9,661.4
2015-11-20T00:00:05+00:00,10,827.6
2015-11-20T00:00:05+00:00,11,832.7
2015-11-20T00:00:05+00:00,12,795.0
2015-11-20T00:00:05+00:00,13,817.9
2015-11-20T00:00:05+00:00,14,922.6
2015-11-20T00:00:05+00:00,15,912.6
2015-11-20T00:00:05+00:00,16,58.26
2015-11-20T00:00:05+00:00,17,3.4
2015-11-20T00:00:05+00:00,18,828.0
2015-11-20T00:00:05+00:00,19,855.2
2015-11-20T00:00:05+00:00,22,25.405
2015-11-20T00:00:05+00:00,23,25.5
2015-11-20T00:00:05+00:00,24,25.6
2015-11-20T00:00:06+00:00,25,30.336
2015-11-20T00:00:06+00:00,20,706.9
2015-11-20T00:00:06+00:00,21,11.3
2015-11-20T00:00:06+00:00,22,25.387
2015-11-20T00:00:06+00:00,23,25.483
2015-11-20T00:00:06+00:00,24,25.6
2015-11-20T00:00:06+00:00,25,30.335
2015-11-20T00:00:06+00:00,1,8.3
2015-11-20T00:00:06+00:00,2,11.3
2015-11-20T00:00:06+00:00,3,9530.0
2015-11-20T00:00:06+00:00,4,709.1
2015-11-20T00:00:06+00:00,5,691.0
2015-11-20T00:00:06+00:00,6,682.4
2015-11-20T00:00:06+00:00,7,718.8
2015-11-20T00:00:06+00:00,8,690.2
2015-11-20T00:00:06+00:00,9,661.5
2015-11-20T00:00:06+00:00,10,828.3
2015-11-20T00:00:06+00:00,11,832.0
2015-11-20T00:00:06+00:00,12,795.5
2015-11-20T00:00:06+00:00,13,817.6
2015-11-20T00:00:06+00:00,14,924.8
2015-11-20T00:00:06+00:00,15,912.3
2015-11-20T00:00:06+00:00,16,59.786
2015-11-20T00:00:06+00:00,17,3.4
2015-11-20T00:00:06+00:00,18,828.7
2015-11-20T00:00:06+00:00,19,854.7
2015-11-20T00:00:06+00:00,22,25.405
2015-11-20T00:00:06+00:00,23,25.5
2015-11-20T00:00:06+00:00,24,25.6
2015-11-20T00:00:06+00:00,25,30.335
2015-11-20T00:00:06+00:00,20,703.4
2015-11-20T00:00:06+00:00,21,11.3
2015-11-20T00:00:06+00:00,22,25.386
